0,1,2,3,4,5,6,7,8
110/03/17,"43,942,131","26,638,906,800",612.00,612.00,602.00,604.00,X0.00,"68,585"
110/03/18,"30,223,846","18,286,667,342",606.00,609.00,602.00,602.00,-2.00,"31,677"
110/03/19,"74,960,854","44,407,634,402",594.00,598.00,591.00,591.00,-11.00,"106,938"
110/03/22,"35,931,375","21,250,445,678",588.00,598.00,586.00,593.00,+2.00,"55,005"
110/03/23,"31,933,358","19,057,386,513",597.00,603.00,593.00,594.00,+1.00,"36,423"
110/03/24,"115,318,351","66,559,451,738",571.00,582.00,571.00,576.00,-18.00,"242,138"
110/03/25,"74,225,812","42,594,849,855",572.00,581.00,570.00,575.00,-1.00,"115,951"
110/03/26,"37,937,242","22,271,364,837",582.00,592.00,580.00,590.00,+15.00,"49,718"
110/03/29,"40,573,913","24,302,039,570",599.00,602.00,596.00,599.00,+9.00,"44,500"
110/03/30,"34,686,346","20,661,203,325",600.00,600.00,592.00,597.00,-2.00,"46,755"
110/03/31,"44,454,672","26,217,366,895",596.00,597.00,587.00,587.00,-10.00,"70,527"
110/04/01,"45,972,766","27,520,742,963",598.00,602.00,594.00,602.00,+15.00,"48,170"
110/04/06,"37,664,216","23,045,132,094",615.00,616.00,608.00,610.00,+8.00,"42,422"
110/04/07,"28,140,964","17,175,949,080",614.00,614.00,608.00,610.00, 0.00,"28,395"
110/04/08,"26,658,283","16,217,570,357",606.00,613.00,603.00,613.00,+3.00,"32,098"
110/04/09,"31,601,619","19,344,167,081",618.00,618.00,609.00,610.00,-3.00,"28,920"
110/04/12,"23,319,822","14,155,495,430",612.00,613.00,603.00,605.00,-5.00,"33,422"
110/04/13,"27,386,926","16,638,680,378",604.00,613.00,604.00,605.00, 0.00,"30,438"
110/04/14,"31,144,922","18,868,308,243",608.00,612.00,600.00,612.00,+7.00,"41,234"
110/04/15,"36,394,255","22,332,532,476",612.00,619.00,607.00,619.00,+7.00,"40,541"
110/04/16,"49,952,191","30,335,377,876",610.00,611.00,603.00,610.00,-9.00,"67,601"
110/04/19,"25,234,976","15,224,292,755",605.00,607.00,601.00,603.00,-7.00,"43,094"
110/04/20,"36,655,069","21,969,721,089",598.00,602.00,595.00,602.00,-1.00,"54,247"
110/04/21,"41,893,725","24,933,016,553",599.00,599.00,592.00,592.00,-10.00,"92,840"
110/04/22,"38,094,824","22,626,436,436",596.00,598.00,591.00,591.00,-1.00,"64,897"
110/04/23,"29,004,756","17,336,162,729",592.00,602.00,590.00,602.00,+11.00,"29,147"
110/04/26,"32,426,908","19,673,836,650",605.00,610.00,603.00,610.00,+8.00,"35,286"
110/04/27,"26,761,401","16,274,064,043",608.00,611.00,605.00,610.00, 0.00,"25,203"
110/04/28,"24,601,487","14,833,592,900",606.00,608.00,601.00,602.00,-8.00,"32,198"
110/04/29,"35,756,460","21,579,514,979",609.00,609.00,600.00,600.00,-2.00,"30,756"
110/05/03,"46,801,189","27,676,378,065",595.00,597.00,588.00,588.00,-12.00,"104,468"
110/05/04,"45,507,479","26,756,714,081",588.00,594.00,582.00,591.00,+3.00,"69,833"
110/05/05,"31,786,592","18,603,594,408",594.00,594.00,585.00,585.00,-6.00,"52,496"
110/05/06,"33,165,446","19,405,281,385",590.00,590.00,580.00,587.00,+2.00,"69,578"
110/05/07,"28,719,597","17,131,817,777",594.00,600.00,589.00,599.00,+12.00,"30,063"
110/05/10,"21,365,583","12,626,811,276",596.00,597.00,588.00,589.00,-10.00,"43,154"
110/05/11,"66,035,839","37,939,364,597",579.00,580.00,570.00,571.00,-18.00,"184,838"
110/05/12,"138,328,672","76,325,765,887",567.00,571.00,518.00,560.00,-11.00,"223,058"
110/05/13,"71,519,430","39,495,488,180",547.00,563.00,541.00,547.00,-13.00,"105,026"
110/05/14,"38,625,148","21,474,513,930",556.00,562.00,552.00,557.00,+10.00,"52,919"
110/05/17,"58,446,847","32,066,868,553",544.00,558.00,541.00,549.00,-8.00,"76,808"
110/05/18,"44,584,258","25,226,153,189",563.00,573.00,555.00,572.00,+23.00,"52,152"
110/05/19,"29,610,174","16,832,735,286",571.00,572.00,565.00,567.00,-5.00,"34,443"
110/05/20,"36,605,692","20,670,883,290",567.00,571.00,560.00,567.00, 0.00,"32,301"
110/05/21,"28,009,899","16,016,851,343",572.00,577.00,568.00,573.00,+6.00,"27,050"
110/05/24,"15,981,036","9,090,836,697",570.00,572.00,566.00,568.00,-5.00,"20,189"
110/05/25,"35,445,350","20,525,932,956",576.00,584.00,573.00,583.00,+15.00,"39,032"
110/05/26,"19,555,305","11,433,686,898",587.00,588.00,581.00,585.00,+2.00,"21,034"
110/05/27,"70,061,002","40,643,804,852",580.00,582.00,573.00,582.00,-3.00,"37,545"
110/05/28,"30,720,737","18,082,265,480",587.00,592.00,582.00,590.00,+8.00,"31,581"
110/05/31,"31,557,426","18,751,716,595",595.00,597.00,590.00,597.00,+7.00,"29,798"
110/06/01,"18,405,285","10,985,893,229",598.00,599.00,595.00,598.00,+1.00,"20,318"
110/06/02,"22,416,789","13,362,065,937",600.00,600.00,593.00,595.00,-3.00,"25,170"
110/06/03,"31,703,679","18,939,839,664",600.00,600.00,596.00,596.00,+1.00,"20,749"
110/06/04,"16,072,580","9,521,252,157",591.00,595.00,590.00,595.00,-1.00,"19,112"
110/06/07,"17,729,179","10,471,176,330",594.00,595.00,583.00,592.00,-3.00,"25,364"
110/06/08,"14,083,552","8,312,653,665",590.00,595.00,588.00,589.00,-3.00,"14,051"
110/06/09,"21,575,159","12,618,113,390",586.00,588.00,583.00,586.00,-3.00,"36,405"
110/06/10,"29,741,770","17,696,413,894",591.00,599.00,587.00,599.00,+13.00,"30,487"
110/06/11,"24,940,705","15,011,140,567",602.00,603.00,600.00,602.00,+3.00,"25,271"
110/06/15,"30,245,897","18,415,370,774",607.00,609.00,606.00,609.00,+7.00,"33,515"
110/06/16,"28,624,508","17,401,326,587",608.00,608.00,605.00,605.00,-4.00,"25,816"
110/06/17,"26,477,032","15,924,656,516",601.00,606.00,598.00,606.00,X0.00,"21,061"
110/06/18,"42,036,170","25,373,026,235",608.00,608.00,601.00,603.00,-3.00,"16,899"
110/06/21,"47,339,695","27,749,202,661",590.00,594.00,583.00,583.00,-20.00,"109,204"
110/06/22,"30,578,091","17,786,329,582",585.00,588.00,578.00,578.00,-5.00,"56,057"
110/06/23,"36,386,023","21,500,052,844",583.00,598.00,581.00,595.00,+17.00,"34,454"
110/06/24,"19,322,765","11,435,647,488",598.00,598.00,588.00,590.00,-5.00,"18,494"
110/06/25,"19,140,086","11,355,715,486",598.00,598.00,589.00,591.00,+1.00,"16,850"
110/06/28,"15,401,977","9,056,869,217",590.00,590.00,586.00,590.00,-1.00,"20,825"
110/06/29,"30,837,548","18,350,027,611",598.00,598.00,591.00,595.00,+5.00,"24,078"
110/06/30,"34,021,380","20,301,841,661",599.00,599.00,595.00,595.00, 0.00,"20,097"
110/07/01,"18,719,706","11,116,195,742",596.00,597.00,591.00,593.00,-2.00,"20,565"
110/07/02,"19,633,718","11,562,140,245",590.00,593.00,587.00,588.00,-5.00,"24,056"
110/07/05,"30,274,105","17,957,255,325",588.00,597.00,588.00,591.00,+3.00,"21,836"
110/07/06,"13,830,591","8,185,167,307",595.00,596.00,589.00,592.00,+1.00,"15,751"
110/07/07,"17,329,148","10,250,342,169",590.00,594.00,588.00,594.00,+2.00,"18,023"
110/07/08,"21,596,183","12,733,045,117",595.00,595.00,588.00,588.00,-6.00,"23,352"
110/07/09,"30,602,492","17,821,338,170",582.00,585.00,580.00,584.00,-4.00,"51,232"
110/07/12,"33,011,596","19,612,592,644",595.00,597.00,590.00,593.00,+9.00,"28,636"
110/07/13,"54,894,335","33,158,730,436",600.00,608.00,599.00,607.00,+14.00,"60,121"
110/07/14,"39,670,241","24,276,719,505",613.00,615.00,608.00,613.00,+6.00,"43,173"
110/07/15,"23,057,868","14,117,908,308",613.00,614.00,608.00,614.00,+1.00,"29,913"
110/07/16,"61,882,128","36,562,482,701",591.00,595.00,588.00,589.00,-25.00,"86,192"
110/07/19,"43,248,966","25,135,531,384",583.00,584.00,578.00,582.00,-7.00,"86,753"
110/07/20,"16,352,855","9,502,338,666",579.00,584.00,579.00,581.00,-1.00,"27,956"
110/07/21,"26,476,215","15,440,430,690",586.00,586.00,580.00,585.00,+4.00,"32,757"
110/07/22,"27,075,950","16,014,166,571",589.00,594.00,587.00,591.00,+6.00,"23,365"
110/07/23,"15,705,191","9,206,201,715",592.00,592.00,583.00,585.00,-6.00,"23,635"
110/07/26,"22,442,745","13,089,591,086",591.00,591.00,580.00,580.00,-5.00,"37,826"
110/07/27,"18,925,325","10,997,959,654",581.00,584.00,580.00,580.00, 0.00,"20,197"
110/07/28,"39,744,486","22,884,618,824",576.00,579.00,573.00,579.00,-1.00,"75,078"
110/07/29,"25,014,772","14,525,643,464",585.00,585.00,577.00,583.00,+4.00,"26,868"
110/07/30,"26,141,286","15,170,421,873",581.00,582.00,578.00,580.00,-3.00,"16,353"
110/08/02,"24,948,096","14,593,329,483",583.00,590.00,580.00,590.00,+10.00,"19,791"
110/08/03,"28,104,984","16,655,446,605",594.00,594.00,590.00,594.00,+4.00,"20,221"
110/08/04,"23,714,971","14,132,827,829",598.00,598.00,594.00,596.00,+2.00,"18,228"
110/08/05,"15,673,765","9,343,887,536",598.00,598.00,593.00,596.00, 0.00,"15,495"
110/08/06,"13,994,018","8,275,142,201",596.00,596.00,588.00,591.00,-5.00,"13,742"
110/08/09,"17,611,955","10,366,798,182",590.00,595.00,583.00,595.00,+4.00,"15,068"
110/08/10,"17,620,825","10,435,618,093",596.00,596.00,589.00,591.00,-4.00,"13,983"
110/08/11,"20,311,399","11,943,131,619",590.00,590.00,585.00,590.00,-1.00,"18,548"
110/08/12,"16,031,265","9,383,967,628",586.00,588.00,584.00,586.00,-4.00,"15,202"
110/08/13,"25,440,973","14,769,155,709",585.00,585.00,579.00,581.00,-5.00,"36,198"
110/08/16,"19,949,389","11,612,486,234",582.00,586.00,578.00,584.00,+3.00,"17,055"
110/08/17,"31,845,499","18,475,506,150",580.00,582.00,578.00,580.00,-4.00,"19,184"
110/08/18,"47,063,629","26,855,353,529",568.00,575.00,566.00,574.00,-6.00,"86,118"
110/08/19,"42,133,375","23,766,228,074",573.00,573.00,559.00,559.00,-15.00,"119,048"
110/08/20,"47,741,449","26,565,551,162",560.00,563.00,551.00,552.00,-7.00,"72,684"
110/08/23,"34,775,337","19,688,362,857",560.00,572.00,559.00,566.00,+14.00,"30,421"
110/08/24,"27,397,309","15,697,269,609",574.00,575.00,571.00,572.00,+6.00,"21,032"
110/08/25,"28,867,651","16,769,849,402",579.00,585.00,574.00,585.00,+13.00,"29,096"
110/08/26,"45,027,320","26,834,160,811",601.00,603.00,591.00,594.00,+9.00,"42,735"
110/08/27,"29,459,532","17,596,859,741",596.00,600.00,593.00,599.00,+5.00,"31,217"
110/08/30,"40,606,821","24,425,472,555",602.00,605.00,599.00,605.00,+6.00,"43,096"
110/08/31,"58,916,407","35,867,753,009",604.00,614.00,598.00,614.00,+9.00,"46,791"
110/09/01,"31,242,788","19,126,702,297",614.00,614.00,608.00,613.00,-1.00,"30,125"
110/09/02,"26,715,492","16,341,803,689",613.00,615.00,607.00,607.00,-6.00,"26,153"
110/09/03,"53,915,006","33,278,648,609",610.00,620.00,610.00,620.00,+13.00,"62,288"
110/09/06,"59,223,061","37,250,623,087",623.00,638.00,621.00,631.00,+11.00,"77,024"
110/09/07,"27,422,775","17,191,259,166",634.00,634.00,623.00,623.00,-8.00,"29,823"
110/09/08,"38,713,621","23,960,375,113",622.00,627.00,612.00,619.00,-4.00,"38,267"
110/09/09,"19,309,522","11,886,107,760",612.00,620.00,610.00,619.00, 0.00,"19,569"
110/09/10,"16,740,439","10,365,721,937",615.00,623.00,614.00,622.00,+3.00,"17,067"
110/09/13,"15,809,768","9,734,528,161",619.00,620.00,613.00,615.00,-7.00,"21,779"
110/09/14,"16,024,935","9,849,961,184",618.00,618.00,612.00,613.00,-2.00,"13,569"
110/09/15,"26,041,452","15,872,971,715",610.00,613.00,607.00,607.00,-6.00,"24,839"
110/09/16,"23,315,040","14,030,697,248",603.00,607.00,599.00,600.00,X0.00,"31,437"
110/09/17,"42,383,815","25,510,152,115",600.00,610.00,599.00,600.00, 0.00,"18,681"
110/09/22,"42,732,169","25,056,693,727",586.00,589.00,583.00,586.00,-14.00,"70,389"
110/09/23,"22,736,266","13,406,035,166",588.00,593.00,588.00,588.00,+2.00,"22,991"
110/09/24,"17,302,848","10,289,114,839",591.00,598.00,590.00,598.00,+10.00,"15,796"
110/09/27,"20,034,221","11,993,300,562",600.00,602.00,593.00,602.00,+4.00,"16,349"
110/09/28,"17,325,896","10,291,543,822",595.00,596.00,592.00,594.00,-8.00,"16,496"
110/09/29,"51,834,124","30,040,354,500",580.00,583.00,577.00,580.00,-14.00,"95,024"
110/09/30,"36,318,623","21,054,651,328",580.00,585.00,575.00,580.00, 0.00,"32,973"
110/10/01,"39,006,124","22,368,447,571",579.00,579.00,571.00,574.00,-6.00,"78,088"
110/10/04,"22,288,138","12,741,914,919",574.00,575.00,569.00,572.00,-2.00,"42,147"
110/10/05,"36,063,650","20,406,526,124",562.00,572.00,560.00,572.00, 0.00,"56,678"
110/10/06,"33,989,379","19,345,468,774",573.00,574.00,565.00,571.00,-1.00,"53,606"
110/10/07,"28,480,400","16,458,019,782",575.00,582.00,572.00,580.00,+9.00,"23,304"
110/10/08,"22,601,904","13,051,944,932",582.00,583.00,573.00,575.00,-5.00,"24,157"
110/10/12,"27,126,088","15,455,194,493",570.00,575.00,564.00,575.00, 0.00,"32,210"
110/10/13,"19,267,437","11,006,807,040",572.00,575.00,570.00,571.00,-4.00,"18,050"
110/10/14,"14,270,641","8,213,170,376",579.00,579.00,573.00,573.00,+2.00,"14,814"
110/10/15,"55,305,252","32,878,638,999",592.00,600.00,586.00,600.00,+27.00,"61,088"
110/10/18,"19,753,943","11,802,365,489",604.00,604.00,590.00,590.00,-10.00,"21,353"
110/10/19,"18,709,936","11,196,540,994",598.00,600.00,593.00,600.00,+10.00,"20,482"
110/10/20,"17,537,878","10,527,701,553",603.00,604.00,597.00,598.00,-2.00,"16,410"
110/10/21,"16,882,324","10,116,911,921",602.00,603.00,595.00,596.00,-2.00,"17,599"
110/10/22,"14,236,279","8,520,299,817",600.00,602.00,594.00,600.00,+4.00,"12,812"
110/10/25,"17,724,968","10,518,554,968",597.00,597.00,590.00,593.00,-7.00,"16,139"
110/10/26,"27,047,187","16,169,131,795",595.00,600.00,593.00,599.00,+6.00,"13,081"
110/10/27,"16,260,278","9,708,715,733",598.00,599.00,594.00,599.00, 0.00,"12,042"
110/10/28,"16,927,154","10,066,068,774",598.00,598.00,591.00,595.00,-4.00,"15,065"
110/10/29,"27,684,673","16,352,758,906",595.00,596.00,589.00,590.00,-5.00,"19,937"
110/11/01,"17,110,357","10,107,402,871",591.00,593.00,590.00,590.00, 0.00,"13,798"
110/11/02,"16,544,999","9,808,608,554",594.00,597.00,590.00,592.00,+2.00,"11,662"
110/11/03,"11,404,984","6,773,439,607",597.00,597.00,592.00,592.00, 0.00,"8,934"
110/11/04,"18,888,245","11,112,246,412",592.00,594.00,585.00,587.00,-5.00,"22,171"
110/11/05,"35,086,799","20,974,569,571",598.00,600.00,595.00,600.00,+13.00,"31,929"
110/11/08,"20,886,897","12,544,595,323",600.00,602.00,598.00,602.00,+2.00,"17,964"
110/11/09,"42,340,785","25,935,652,781",611.00,617.00,610.00,611.00,+9.00,"42,855"
110/11/10,"18,518,512","11,303,615,778",611.00,612.00,608.00,612.00,+1.00,"19,147"
110/11/11,"20,257,792","12,225,622,771",600.00,606.00,600.00,606.00,-6.00,"16,140"
110/11/12,"21,373,014","12,801,799,429",610.00,611.00,602.00,604.00,-2.00,"13,869"
110/11/15,"17,140,935","10,434,209,332",609.00,611.00,607.00,608.00,+4.00,"13,140"
110/11/16,"21,776,308","13,285,168,416",612.00,612.00,608.00,610.00,+2.00,"14,487"
110/11/17,"21,829,653","13,330,782,804",615.00,615.00,608.00,610.00, 0.00,"14,807"
110/11/18,"22,933,191","14,019,057,524",613.00,614.00,607.00,613.00,+3.00,"15,913"
110/11/19,"38,847,820","24,047,156,185",622.00,623.00,617.00,618.00,+5.00,"32,179"
110/11/22,"23,296,854","14,354,639,781",618.00,618.00,615.00,615.00,-3.00,"14,108"
110/11/23,"20,022,520","12,266,300,247",615.00,615.00,611.00,612.00,-3.00,"15,011"
110/11/24,"22,978,524","13,904,268,592",612.00,612.00,602.00,603.00,-9.00,"23,584"
110/11/25,"14,171,433","8,551,663,451",605.00,607.00,601.00,603.00, 0.00,"14,137"
110/11/26,"27,882,175","16,609,442,268",598.00,601.00,592.00,596.00,-7.00,"47,638"
110/11/29,"24,160,615","14,360,266,132",594.00,598.00,591.00,593.00,-3.00,"23,653"
110/11/30,"69,160,408","41,208,103,150",597.00,600.00,591.00,596.00,+3.00,"24,427"
110/12/01,"30,119,408","18,021,861,252",596.00,603.00,594.00,600.00,+4.00,"15,695"
110/12/02,"48,720,976","29,780,012,954",605.00,615.00,602.00,615.00,+15.00,"40,629"
110/12/03,"27,571,974","16,798,271,782",614.00,614.00,606.00,608.00,-7.00,"16,197"
110/12/06,"24,474,913","14,740,969,839",603.00,609.00,600.00,600.00,-8.00,"19,139"
110/12/07,"21,105,883","12,704,452,330",602.00,607.00,597.00,607.00,+7.00,"22,160"
110/12/08,"22,194,708","13,490,034,097",614.00,614.00,602.00,602.00,-5.00,"15,634"
110/12/09,"12,467,833","7,554,386,680",606.00,608.00,602.00,608.00,+6.00,"9,231"
110/12/10,"11,371,659","6,874,539,365",605.00,608.00,602.00,605.00,-3.00,"9,215"
110/12/13,"17,994,933","10,887,156,003",609.00,610.00,601.00,601.00,-4.00,"12,503"
110/12/14,"22,997,961","13,757,424,386",598.00,600.00,597.00,599.00,-2.00,"21,324"
110/12/15,"22,419,040","13,420,958,112",597.00,601.00,596.00,600.00,+1.00,"19,195"
110/12/16,"22,151,282","13,370,280,179",605.00,605.00,601.00,605.00,X0.00,"15,515"
110/12/17,"30,319,495","18,339,763,894",601.00,607.00,599.00,607.00,+2.00,"11,667"
110/12/20,"22,381,761","13,446,342,438",607.00,607.00,598.00,598.00,-9.00,"18,943"
110/12/21,"17,669,559","10,560,361,874",597.00,600.00,595.00,597.00,-1.00,"17,336"
110/12/22,"10,127,887","6,067,689,422",598.00,601.00,598.00,600.00,+3.00,"8,238"
110/12/23,"16,910,501","10,238,270,336",607.00,608.00,602.00,606.00,+6.00,"12,888"
110/12/24,"12,008,673","7,276,331,245",606.00,609.00,604.00,604.00,-2.00,"10,444"
110/12/27,"16,771,900","10,193,462,167",604.00,610.00,604.00,606.00,+2.00,"16,637"
110/12/28,"35,156,339","21,569,506,434",610.00,615.00,610.00,615.00,+9.00,"36,241"
110/12/29,"25,604,320","15,788,043,027",615.00,619.00,614.00,616.00,+1.00,"28,804"
110/12/30,"20,522,055","12,654,016,133",619.00,620.00,615.00,615.00,-1.00,"15,565"
109/01/02,"33,282,120","11,224,165,450",332.50,339.00,332.50,339.00,+8.00,"17,160"
109/01/03,"42,023,268","14,295,651,580",344.00,345.00,335.50,339.50,+0.50,"20,545"
109/01/06,"45,677,057","15,210,531,318",333.00,334.50,332.00,332.00,-7.50,"22,944"
109/01/07,"51,746,181","17,053,282,011",332.50,333.00,326.50,329.50,-2.50,"22,362"
109/01/08,"37,913,748","12,484,410,088",325.00,333.00,325.00,329.50, 0.00,"18,228"
109/01/09,"32,397,504","10,890,847,940",335.00,337.50,333.50,337.50,+8.00,"16,793"
109/01/10,"27,880,115","9,432,320,316",340.50,341.00,336.00,339.50,+2.00,"13,296"
109/01/13,"30,663,332","10,455,852,739",342.00,342.00,339.00,341.50,+2.00,"13,457"
109/01/14,"30,368,993","10,488,360,978",345.50,346.00,344.50,346.00,+4.50,"16,339"
109/01/15,"54,575,274","18,590,754,206",345.00,345.00,337.50,340.00,-6.00,"20,392"
109/01/16,"58,217,420","19,431,133,895",330.00,336.50,330.00,334.50,-5.50,"24,721"
109/01/17,"53,908,097","17,977,119,406",334.00,335.50,332.00,333.00,-1.50,"23,954"
109/01/20,"35,551,203","11,865,436,839",334.00,335.50,333.00,333.00, 0.00,"15,095"
109/01/30,"126,820,049","40,734,449,874",326.00,326.00,316.50,316.50,-16.50,"55,603"
109/01/31,"62,912,055","20,205,365,710",323.00,323.50,319.00,320.00,+3.50,"22,639"
109/02/03,"59,711,849","18,782,694,826",315.00,316.50,312.00,315.00,-5.00,"26,483"
109/02/04,"52,208,496","16,882,411,296",319.00,326.00,318.00,325.00,+10.00,"22,587"
109/02/05,"36,601,453","11,985,817,083",329.00,329.50,324.50,327.50,+2.50,"16,656"
109/02/06,"29,659,094","9,803,038,836",329.50,332.50,329.00,332.50,+5.00,"14,246"
109/02/07,"30,055,327","9,869,903,253",330.00,330.50,326.00,328.00,-4.50,"13,075"
109/02/10,"30,814,424","10,024,967,927",321.50,328.00,321.00,327.50,-0.50,"14,825"
109/02/11,"29,062,935","9,629,938,182",330.50,332.50,330.00,331.50,+4.00,"12,766"
109/02/12,"37,612,639","12,593,082,711",333.50,336.00,333.00,335.00,+3.50,"17,394"
109/02/13,"23,217,021","7,805,299,096",338.00,338.00,335.00,335.00, 0.00,"12,563"
109/02/14,"18,326,683","6,155,862,838",337.00,337.00,334.50,335.00, 0.00,"7,881"
109/02/17,"16,145,079","5,354,339,726",331.50,333.00,330.50,331.50,-3.50,"9,747"
109/02/18,"64,662,604","20,957,801,150",324.50,326.50,322.00,322.00,-9.50,"36,520"
109/02/19,"48,856,218","15,881,609,046",322.50,327.00,322.00,326.50,+4.50,"16,003"
109/02/20,"27,061,736","8,832,642,641",328.00,329.00,325.00,325.50,-1.00,"11,695"
109/02/21,"22,974,534","7,463,007,621",325.50,326.50,323.00,325.00,-0.50,"9,342"
109/02/24,"42,946,680","13,754,512,932",319.50,321.50,319.50,320.00,-5.00,"18,902"
109/02/25,"38,674,011","12,425,785,349",320.00,323.50,317.50,322.00,+2.00,"17,366"
109/02/26,"60,768,362","19,341,695,595",317.00,320.50,316.50,318.50,-3.50,"24,310"
109/02/27,"62,401,927","19,756,146,876",319.00,320.00,315.00,316.00,-2.50,"20,633"
109/03/02,"86,372,942","26,864,484,400",308.00,317.00,308.00,311.00,-5.00,"35,320"
109/03/03,"55,169,411","17,534,766,696",318.50,320.00,316.00,317.50,+6.50,"20,713"
109/03/04,"44,745,146","14,304,795,666",322.00,322.00,317.00,320.50,+3.00,"16,118"
109/03/05,"38,223,525","12,392,618,100",325.00,326.00,323.00,323.00,+2.50,"15,107"
109/03/06,"52,807,760","16,733,485,610",320.00,320.50,315.00,315.00,-8.00,"24,175"
109/03/09,"88,633,277","27,236,002,054",307.50,310.00,305.50,305.50,-9.50,"44,882"
109/03/10,"74,869,130","22,727,941,511",301.50,309.00,301.00,307.00,+1.50,"30,268"
109/03/11,"64,923,710","19,913,151,529",309.00,310.50,302.00,302.00,-5.00,"27,176"
109/03/12,"114,173,351","33,544,278,206",299.00,299.00,287.00,294.00,-8.00,"56,989"
109/03/13,"151,268,148","42,448,997,546",275.00,294.00,272.50,290.00,-4.00,"71,990"
109/03/16,"103,933,228","29,343,288,916",285.00,291.00,275.50,276.50,-13.50,"51,292"
109/03/17,"122,409,651","32,936,712,540",265.00,276.50,265.00,268.00,-8.50,"57,123"
109/03/18,"118,620,643","31,555,231,792",269.50,272.50,260.00,260.00,-8.00,"53,985"
109/03/19,"160,811,697","39,559,889,553",252.00,253.00,235.50,248.00,X0.00,"77,302"
109/03/20,"159,179,726","42,110,816,042",258.50,270.00,256.00,270.00,+22.00,"69,829"
109/03/23,"76,963,709","19,851,467,203",257.00,262.50,252.00,255.00,-15.00,"41,621"
109/03/24,"82,377,933","22,207,033,614",268.00,274.00,266.00,267.50,+12.50,"41,077"
109/03/25,"80,514,199","22,368,633,590",276.50,280.00,274.00,277.00,+9.50,"40,932"
109/03/26,"54,189,633","15,108,299,935",279.50,280.00,275.50,280.00,+3.00,"27,648"
109/03/27,"69,320,306","19,324,060,590",284.00,286.00,273.00,273.00,-7.00,"36,025"
109/03/30,"53,403,956","14,205,364,184",263.50,269.00,262.50,267.50,-5.50,"27,779"
109/03/31,"53,901,923","14,712,557,472",273.00,274.00,269.50,274.00,+6.50,"20,343"
109/04/01,"47,572,034","13,022,612,818",276.50,276.50,271.50,271.50,-2.50,"19,580"
109/04/06,"59,712,754","16,324,198,154",273.00,275.50,270.00,275.50,+4.00,"19,971"
109/04/07,"48,887,346","13,817,936,851",283.50,284.00,280.50,283.00,+7.50,"24,281"
109/04/08,"38,698,826","11,016,972,354",285.00,285.50,283.00,285.00,+2.00,"19,126"
109/04/09,"29,276,430","8,346,209,654",287.50,288.00,282.50,283.00,-2.00,"15,271"
109/04/10,"28,206,858","7,894,277,586",280.00,282.00,279.00,279.50,-3.50,"15,833"
109/04/13,"22,196,596","6,202,532,380",278.50,281.50,278.50,278.50,-1.00,"12,809"
109/04/14,"50,196,688","14,268,689,661",281.00,285.50,280.00,285.00,+6.50,"22,214"
109/04/15,"58,561,434","16,819,851,630",287.00,288.50,286.00,287.50,+2.50,"25,696"
109/04/16,"48,257,280","13,813,721,932",283.00,288.50,283.00,286.50,-1.00,"19,084"
109/04/17,"117,447,201","35,719,172,728",303.50,308.50,300.50,306.50,+20.00,"60,873"
109/04/20,"44,586,860","13,605,802,989",308.00,309.00,302.50,304.00,-2.50,"21,791"
109/04/21,"61,949,357","18,417,786,171",300.50,301.50,293.50,295.00,-9.00,"39,043"
109/04/22,"43,568,580","12,746,170,556",294.50,295.00,290.50,294.00,-1.00,"25,176"
109/04/23,"39,977,278","11,864,085,990",300.00,300.00,294.00,295.50,+1.50,"18,541"
109/04/24,"26,465,090","7,799,075,756",295.50,297.00,294.00,294.00,-1.50,"13,661"
109/04/27,"38,493,406","11,461,378,300",298.00,298.50,296.00,298.00,+4.00,"15,916"
109/04/28,"37,621,165","11,134,919,970",298.50,298.50,294.50,296.50,-1.50,"18,214"
109/04/29,"46,253,301","13,861,245,296",299.00,301.50,298.00,299.00,+2.50,"21,633"
109/04/30,"58,439,085","17,753,466,901",302.00,305.00,301.50,304.50,+5.50,"26,219"
109/05/04,"72,252,861","21,341,931,218",294.50,296.50,294.00,295.00,-9.50,"37,736"
109/05/05,"23,988,405","7,104,774,785",296.50,298.00,295.00,295.50,+0.50,"13,569"
109/05/06,"35,704,479","10,524,838,077",294.50,296.00,292.50,296.00,+0.50,"16,046"
109/05/07,"28,017,198","8,321,170,642",294.50,299.00,294.50,297.50,+1.50,"13,149"
109/05/08,"35,613,893","10,619,091,212",300.00,300.00,296.00,297.50, 0.00,"14,345"
109/05/11,"32,379,019","9,729,431,840",300.00,301.50,298.50,301.00,+3.50,"14,920"
109/05/12,"52,494,788","15,553,012,596",297.50,298.50,295.00,295.00,-6.00,"29,073"
109/05/13,"46,158,418","13,619,538,824",293.00,297.00,292.50,297.00,+2.00,"14,555"
109/05/14,"34,480,948","10,119,787,160",293.00,295.00,292.50,293.00,-4.00,"21,482"
109/05/15,"44,304,804","13,170,466,660",297.50,298.50,294.50,298.00,+5.00,"20,071"
109/05/18,"96,872,065","28,216,346,996",291.00,293.50,290.00,290.00,-8.00,"49,640"
109/05/19,"53,083,214","15,527,338,138",294.00,294.00,291.50,291.50,+1.50,"22,033"
109/05/20,"36,789,994","10,772,280,152",293.00,294.00,291.00,294.00,+2.50,"16,906"
109/05/21,"36,299,468","10,782,482,962",296.00,298.00,295.00,297.50,+3.50,"17,064"
109/05/22,"41,138,923","12,025,339,565",294.50,295.00,291.00,292.00,-5.50,"22,345"
